레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
굴소스 파스타,"굴소스 2스푼, 고추 1개, 파스타면 1인분, 소금 약간, 후추 약간, 계란 1개",프라이팬,"1. 고추를 다져서 준비해 준다
 2. 파스타면을 삶아서 프라이팬으로 옮겨 준다
 3. 프라이팬에 면수 1국자, 굴소스 2T, 약간의 소금 후추를 넣고 볶아준다
 4. 적당히 익은 면을 그릇으로 옮겨 닮고 면 위에 계란노른자를 올려 주면 완성",식사,,,
스테이크 솥밥,"쌀 1인분, 표고버섯 4개, 버터 3조각, 간장 1스푼, 스테이크용 고기 1인분, 쪽파 약간, 소금 약간, 후추 약간, 올리브유 약간",프라이팬,"1. 생쌀을 씻고, 버섯을 썰어 준비해 준다. 
2. 냄비에 버터 한조각을 넣고 버섯을 볶아주다 간장과 쌀을 넣고 강불로 볶아준다.
3. 밥과 1대 1 비율로 넣고 마저 볶아주다 끓기 시작하면 약불에서 10분간 끓인다.
4. 밥이 끓는 동안 스테이크에 소금, 후추, 올리브유로 간을 해주고 버터를 넣은 프라이팬에서 스테이크를 굽는다.
5. 쪽파를 송송 썬다.
6. 스테이크를 썰어 솥밥 위에 쪽파, 스테이크, 버터 1조각을 넣어주면 완성",식사,https://youtube.com/shorts/Aynxub9xolo?si=VCkIcubI7MMDYzGP,,
카라멜 식빵,"식빵, 계란 2개, 우유 약간, 꿀/시럽",에어프라이기,"1. 식빵을 원하는 크기로 잘라준다
2. 계란물에 우유를 약간 넣고 섞어 계란물을 만든다
3. 식빵에 계란물을 묻혀 에어프라이기에 5분 구워준다
4. 꿀이나 시럽을 식빵에 발라 에어프라이기에서 3분 구워주면 완성",간식,https://youtube.com/shorts/FYiBzizQP0s?si=zDhEcWeToEHa6YVk,,
라면땅,"라면 1개, 마요네즈, 설탕",에어프라이기,"1. 봉투에 라면을 넣고 부수어 준다
2. 봉투 안에 마요네즈와 마요네즈, 설탕을 넣고 골고루 섞어 준다
3. 에어프라이기에서 170도로 4분을 중간에 한 번 섞어주며 돌리면 완성",간식,https://youtube.com/shorts/hmm5tUv8YHc?si=kA4qL7mohf-u3yaI,,
전자레인지 푸딩,"설탕 약간, 물, 계란 1개, 바닐라 익스트렉/레몬즙 3방울, 우유",전자레인지,"1. 컵 안에 설탕, 물을 넣고 섞은 뒤, 전자레인지에 넣어 1분 30초 동안 돌린다
2.이어서 10초씩 끊어서 돌려준다.
3. 여러 번 반복하다가 좀 어두운 카라멜 색이 되면 멈춘다
4.계란, 바닐라 익스트렉, 설탕을 넣고 섞는다. 우유를 넣고 섞은 후 체에 걸러준다
5.전자레인지로 1 분 가열한 후 10초씩 끊어서 총 6번 가열한다
6.랩을 씌워서 면보를 덮어 실온에 30분간 놓아둔다 
7. 이어 냉장고에 3시간 넣어두고 차갑게 식힌다",간식,https://youtube.com/shorts/_wn-htrQdyk?si=pYx0_Eye1F9Mnke0,,
전자레인지 케찹밥,"즉석밥 1개, 케찹 2스푼, 소금 약간, 슬라이스 치즈, 계란, 베이컨 1줄",전자레인지,"1. 즉석밥을 전자레인지에 1분간 돌린다 
2. 즉석밥에 케찹 2스푼, 소금 약간을 넣고 섞는다
3. 밥 가운데에 자리를 만들어 슬라이스 치즈와 계란을 넣고 노른자는 터트려 준다
4. 베이컨을 잘게 잘라 밥 위에 뿌린다
5. 뚜껑 덮고 전자레인지에 3분 더 돌리면 완성",식사,https://youtube.com/shorts/J4LIEXbAHj0?si=M2Vzd8U2856VWbqs,,
한입 프렌치토스트,"식빵 2장, 계란 2개, 설탕 1스푼, 우유 3스푼, 식용유/버터 약간",프라이팬,"1. 계란 2개, 설탕 1스푼, 우유 3스푼을 넣고 잘 섞는다
2. 식빵은 먹기 좋은 크기로 잘라 계란물을 적셔 준다
3. 프라이팬에 식용유나 버터를 두른다
4. 약불에서 중약불 정도에서 식빵을 구워주면 완성",간식,https://youtube.com/shorts/Zu79Zn_L1to?si=nptPFMBu-mFgTAfY,,
콩나물 비빔밥,"밥 1인분, 콩나물, 다진마늘 1/2스푼, 고춧가루 1스푼, 양조간장 2스푼, 참기름 1스푼, 깨 1스푼, 계란 1개",전자레인지,"1. 전자레인지용 그릇에 밥 한 공기와 콩나물 1~2줌을 담아준다.
2. 랩이나 뚜껑을 덮어 전자레인지에 3~4분 돌려준다.
3. 양념장은 다진 마늘 1/2스푼, 고춧가루 1스푼, 양조간장 2스푼, 참기름 1스푼, 깨 1스푼 넣어 섞어준다
4. 밥 위에 양념장과 계란후라이도 하나 올려서 비벼주면 끝",식사,https://youtube.com/shorts/XOfimxEFsz4?si=pTya7Uz4XC-0QlBu,,
전자레인지 두부조림,"두부 1모, 소금 한 꼬집, 고춧가루 2스푼, 간장 2스푼, 올리고당(or 설탕) 1스푼, 물 4스푼, 다진 대파/마늘 1스푼씩, 참기름 1스푼, 깨",전자레인지,"1. 두부는 먹기 좋게 자르고 소금 한 꼬집을 뿌려서 전자레인지 1분 돌려 수분을 빼줍니다.
2. 양념장은 고춧가루 2스푼, 간장 2스푼, 올리고당(or 설탕) 1스푼, 물 4스푼, 다진 대파/마늘 1스푼씩 넣어 잘 섞어줍니다.
3. 두부에 양념장을 얹고 전자레인지 3분 돌려줍니다.
4. 마지막에 참기름 1스푼과 깨 뿌려주면 완성",식사,https://youtube.com/shorts/K_kvWJNdFPI?si=THQQ0JvlJWZW6Q6r,,
전자레인지 치즈케이크,"로투스 7개, 버터 1조각, 크림치즈 5스푼, 설탕 2스푼, 계란 1개",전자레인지,"1. 로투스를 잘게 부수고 녹인 버터와 섞어준다.
2. 그릇에 부순 로투스를 깔아준다.
3. 크림치즈, 설탕, 계란을 섞어서 반죽을 부어준다.
4. 전자레인지에 30초씩 4-5번 돌려주고 차게 식혀준다.",간식,https://youtube.com/shorts/1HzJhGJdO88?si=JGTqm6sys_yf7Bkw,,
